theater,title,link,date,description,runtime,rating,ticket_link,image_url,movie_index
AMC,Looking Through Water with Live Cast Q&A,https://www.amctheatres.com/movies/looking-through-water-with-live-cast-q-a-81250,9/5/25,Looking Through Water with Live Cast Q&A.,2 HR 16 MIN,NR,https://www.amctheatres.com/movies/looking-through-water-with-live-cast-q-a-81250/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1689297956/content/general/ga77qsatemd65jyqzfnc.jpg",0
AMC,The American Southwest - Q&A with filmmaker Ryan Olinger,https://www.amctheatres.com/movies/the-american-southwest-q-a-with-filmmaker-ryan-olinger-81203,9/8/25,The American Southwest - Q&A with filmmaker Ryan Olinger.,2 HR 17 MIN,G,https://www.amctheatres.com/movies/the-american-southwest-q-a-with-filmmaker-ryan-olinger-81203/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1755275570/amc-cdn/production/2/movies/81200/81203/MovieStillDynamic/172563.jpg",1
AMC,"Spinal Tap II: The End Continues - On, Off and Around the Record - IMAX Live Q&A Event",https://www.amctheatres.com/movies/spinal-tap-ii-the-end-continues-on-off-and-around-the-record-imax-live-q-a-event-81136,9/10/25,"Spinal Tap is back (again). After redefining rock documentaries and volume knobs, the band returns to the screen in Spinal Tap II: The End Continues. Join the attempting-to-be legendary filmmaker Marty DiBergi and the original members of Spinal Tap—David St. Hubbins, Nigel Tufnel, and Derek Smalls—for a once-in-a-lifetime live post-screening Q&A. Forty-one years after the release of the groundbreaking mockumentary This Is Spinal Tap, the now estranged bandmates David St. Hubbins, Nigel Tufnel, and Derek Smalls (Michael McKean, Christopher Guest, and Harry Shearer) are forced to reunite for one final concert. Spinal Tap II: The End Continues also marks the resurrection of documentarian Marty Di Bergi (Rob Reiner), who once again tries to capture his favorite metal gods as they contemplate mortality—and the hope that their 12th drummer doesn’t join them in The Great Beyond. Joined by music royalty Paul McCartney and Elton John, Spinal Tap wrestles with their checkered past to put on a concert that they hope will solidify their place in the pantheon of rock ’n' roll.",1 HR 54 MIN,R,https://www.amctheatres.com/movies/spinal-tap-ii-the-end-continues-on-off-and-around-the-record-imax-live-q-a-event-81136/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1755095058/amc-cdn/production/2/movies/81100/81136/MovieStillDynamic/172507.jpg",2
AMC,Looking Through Water with Live Cast Q&A 2,https://www.amctheatres.com/movies/looking-through-water-with-live-cast-q-a-81250,9/29/25,Looking Through Water with Live Cast Q&A.,2 HR 16 MIN,NR,https://www.amctheatres.com/movies/looking-through-water-with-live-cast-q-a-81250/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1689297956/content/general/ga77qsatemd65jyqzfnc.jpg",3
AMC,The American Southwest - Q&A with filmmaker Ryan Olinger 2,https://www.amctheatres.com/movies/the-american-southwest-q-a-with-filmmaker-ryan-olinger-81203,9/22/25,The American Southwest - Q&A with filmmaker Ryan Olinger.,2 HR 17 MIN,G,https://www.amctheatres.com/movies/the-american-southwest-q-a-with-filmmaker-ryan-olinger-81203/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1755275570/amc-cdn/production/2/movies/81200/81203/MovieStillDynamic/172563.jpg",4
AMC,"Spinal Tap II: The End Continues - On, Off and Around the Record - IMAX Live Q&A Event 2",https://www.amctheatres.com/movies/spinal-tap-ii-the-end-continues-on-off-and-around-the-record-imax-live-q-a-event-81136,9/18/25,"Spinal Tap is back (again). After redefining rock documentaries and volume knobs, the band returns to the screen in Spinal Tap II: The End Continues. Join the attempting-to-be legendary filmmaker Marty DiBergi and the original members of Spinal Tap—David St. Hubbins, Nigel Tufnel, and Derek Smalls—for a once-in-a-lifetime live post-screening Q&A. Forty-one years after the release of the groundbreaking mockumentary This Is Spinal Tap, the now estranged bandmates David St. Hubbins, Nigel Tufnel, and Derek Smalls (Michael McKean, Christopher Guest, and Harry Shearer) are forced to reunite for one final concert. Spinal Tap II: The End Continues also marks the resurrection of documentarian Marty Di Bergi (Rob Reiner), who once again tries to capture his favorite metal gods as they contemplate mortality—and the hope that their 12th drummer doesn’t join them in The Great Beyond. Joined by music royalty Paul McCartney and Elton John, Spinal Tap wrestles with their checkered past to put on a concert that they hope will solidify their place in the pantheon of rock ’n' roll.",1 HR 54 MIN,R,https://www.amctheatres.com/movies/spinal-tap-ii-the-end-continues-on-off-and-around-the-record-imax-live-q-a-event-81136/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1755095058/amc-cdn/production/2/movies/81100/81136/MovieStillDynamic/172507.jpg",5
AMC,Looking Through Water with Live Cast Q&A 3,https://www.amctheatres.com/movies/looking-through-water-with-live-cast-q-a-81250,9/2/25,Looking Through Water with Live Cast Q&A.,2 HR 16 MIN,NR,https://www.amctheatres.com/movies/looking-through-water-with-live-cast-q-a-81250/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1689297956/content/general/ga77qsatemd65jyqzfnc.jpg",6
AMC,The American Southwest - Q&A with filmmaker Ryan Olinger 3,https://www.amctheatres.com/movies/the-american-southwest-q-a-with-filmmaker-ryan-olinger-81203,9/9/25,The American Southwest - Q&A with filmmaker Ryan Olinger.,2 HR 17 MIN,G,https://www.amctheatres.com/movies/the-american-southwest-q-a-with-filmmaker-ryan-olinger-81203/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1755275570/amc-cdn/production/2/movies/81200/81203/MovieStillDynamic/172563.jpg",7
AMC,"Spinal Tap II: The End Continues - On, Off and Around the Record - IMAX Live Q&A Event 3",https://www.amctheatres.com/movies/spinal-tap-ii-the-end-continues-on-off-and-around-the-record-imax-live-q-a-event-81136,9/13/25,"Spinal Tap is back (again). After redefining rock documentaries and volume knobs, the band returns to the screen in Spinal Tap II: The End Continues. Join the attempting-to-be legendary filmmaker Marty DiBergi and the original members of Spinal Tap—David St. Hubbins, Nigel Tufnel, and Derek Smalls—for a once-in-a-lifetime live post-screening Q&A. Forty-one years after the release of the groundbreaking mockumentary This Is Spinal Tap, the now estranged bandmates David St. Hubbins, Nigel Tufnel, and Derek Smalls (Michael McKean, Christopher Guest, and Harry Shearer) are forced to reunite for one final concert. Spinal Tap II: The End Continues also marks the resurrection of documentarian Marty Di Bergi (Rob Reiner), who once again tries to capture his favorite metal gods as they contemplate mortality—and the hope that their 12th drummer doesn’t join them in The Great Beyond. Joined by music royalty Paul McCartney and Elton John, Spinal Tap wrestles with their checkered past to put on a concert that they hope will solidify their place in the pantheon of rock ’n' roll.",1 HR 54 MIN,R,https://www.amctheatres.com/movies/spinal-tap-ii-the-end-continues-on-off-and-around-the-record-imax-live-q-a-event-81136/showtimes,"https://amc-theatres-res.cloudinary.com/image/upload/c_fill,w_767,h_410,g_auto/f_auto/q_auto/v1755095058/amc-cdn/production/2/movies/81100/81136/MovieStillDynamic/172507.jpg",8
