theater,title,link,date,description,runtime,rating,ticket_link,image_url,paragraphs_qna
IFC Center,Elie Wiesel: Soul on Fire,https://www.ifccenter.com/films/elie-wiesel-soul-on-fire/,"2025-09-05,2025-09-07","Friday, September 5 at 6:50: Q&A with director Oren Rudavsky, producer Tal Mandil, producer/editor Michael Chomet, and animator Joel Orloff Saturday, Septembre 6 at 6:50:  Q&A with director Oren Rudavsky and co-producer Annette Insdorf Sunday, September 7 at 2:10: Q&A with director Oren Rudavsky and Annette Insdorf, co-producer and Columbia University Film Professor Sunday, September 7 at […]",1 HR 27 MIN,,,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2025/07/eliewieselsoulonfire.jpg,"['Q&A with dir. Oren Rudavsky, prods. Tal Mandil & Michael Chomet, and Joel Orloff at 6:50', 'Q&A with dir. Oren Rudavsky and co-prod. Annette Insdorf at 6:50', 'Q&A with dir. Oren Rudavsky and co-prod. Annette Insdorf at 2:10', 'Q&A with dir. Oren Rudavsky and Elisha Wiesel, son of Elie Wiesel at 4:30', 'Friday, September 5 at 6:50: Q&A with director Oren Rudavsky, producer Tal Mandil, producer/editor Michael Chomet, and animator Joel Orloff', 'Saturday, Septembre 6 at 6:50: Q&A with director Oren Rudavsky and co-producer Annette Insdorf', 'Sunday, September 7 at 2:10: Q&A with director Oren Rudavsky and Annette Insdorf, co-producer and Columbia University Film Professor', 'Sunday, September 7 at 4:30: Q&A with director Oren Rudavsky and Elisha Wiesel, son of Elie Wiesel']"
IFC Center,The Baltimorons,https://www.ifccenter.com/films/the-baltimorons/,"2025-09-05,2025-09-06","Friday, September 5 at 7:15: Q&A with Michael Strassner, Liz Larsen and Jay Duplass Saturday, September 6 at 4:40: Q&A with Michael Strassner, Liz Larsen and Jay Duplass  A newly sober man’s Christmas Eve dental emergency leads to an unexpected romance with his older dentist as they explore Baltimore together in Duplass’s lo-fi indie charmer. Official […]",1 HR 39 MIN,,,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2025/07/thebaltimorons.jpg,"['Q&A with Michael Strassner, Liz Larsen and dir. Jay Duplass after the 7:15 show', 'Q&A with Michael Strassner, Liz Larsen and dir. Jay Duplass after the 4:40 show', 'Friday, September 5 at 7:15: Q&A with Michael Strassner, Liz Larsen and Jay Duplass', 'Saturday, September 6 at 4:40: Q&A with Michael Strassner, Liz Larsen and Jay Duplass']"
IFC Center,Hard Hat Riot,https://www.ifccenter.com/films/hard-hat-riot/,2025-09-16,"Tuesday, September 16 at 7:00: Q&A with writers/producers Marc Levin and Daphne Pinkerson, producers Mikaela Beardsley and Cary Woods, executive producer Cameo George and co-producer and film subject David Paul Kuhn. On May 8, 1970, “the Hard Hat Riot” erupted in lower Manhattan. At midday, construction workers, including those building the World Trade Center, violently clashed […]",1 HR 21 MIN,,,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2025/08/hardhatriot2.jpg,"['Q&A with producers at 7:00', 'Tuesday, September 16 at 7:00: Q&A with writers/producers Marc Levin and Daphne Pinkerson, producers Mikaela Beardsley and Cary Woods, executive producer Cameo George and co-producer and film subject David Paul Kuhn.']"
IFC Center,Ain’t No Back to a Merry-Go-Round,https://www.ifccenter.com/films/aint-no-back-to-a-merry-go-round/,"2025-09-17,2025-09-18,2025-09-20,2025-09-21","Wednesday, September 17 and Thursday, September 18 at 6:30: Q&As with filmmakers Saturday, September 20 and Sunday, September 21 at 1:30: Q&As with filmmakers AIN’T NO BACK TO A MERRY-GO-ROUND is the untold story of the first organized interracial civil rights protest in U.S. history. When 5 Howard University students sat on a Maryland carousel […]",1 HR 29 MIN,,,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2025/08/aintnobacktoamerrygoround-172.jpg,"['Q&A with filmmakers after the 6:30 show', 'Q&A with filmmakers after the 6:30 show', 'Q&A with filmmakers after the 1:30 show', 'Q&A with filmmakers after the 1:30 show', 'Wednesday, September 17 and Thursday, September 18 at 6:30: Q&As with filmmakers', 'Saturday, September 20 and Sunday, September 21 at 1:30: Q&As with filmmakers']"
IFC Center,Cameraperson,https://www.ifccenter.com/films/cameraperson/,2025-09-28,"Sunday, September 28 at 4:05: Q&A with director Kristen Johnson after the screening What does it mean to film someone? How does it affect the subject—and what does it do to the filmer? Johnson, the cinematographer behind such essential documentaries as Citizenfour, Farenheit 9/11, The Invisible War and dozens more, draws on the remarkable footage she’s shot throughout her […]",1 HR 43 MIN,,,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2025/08/cameraperson.jpg,"['Q&A with dir. Kristen Johnson after the 4:05 show', 'Sunday, September 28 at 4:05: Q&A with director Kristen Johnson after the screening']"
IFC Center,Dawson City: Frozen Time,https://www.ifccenter.com/films/dawson-city-frozen-time-2/,2025-09-30,"Tuesday, September 30 at 6:55: Q&A with director Bill Morrison after the screening Bill Morrison (Decasia, The Great Flood) pieces together the bizarre history of a collection of 500 films from the 1910s and 20s, lost until they were unearthed from a subarctic swimming pool deep in the Yukon Territory in 1978. Accompanied by Alex […]",2 HR,,,https://images.amcnetworks.com/ifccenter.com/wp-content/uploads/2025/08/dawsoncityfrozentime.jpg,"['Q&A with dir. Bill Morrison after the 6:55 screening', 'Tuesday, September 30 at 6:55: Q&A with director Bill Morrison after the screening']"
